scientific_name,taxon,iucn_class,iucn_category,iucn_score,gen,is_single
Nepenthes aristolochioides,무척추/식물/기타,MAGNOLIOPSIDA,CR,4,4.0,False
Pristis clavata,어류,CHONDRICHTHYES,CR,4,21.0,True
Potorous gilbertii,포유류,MAMMALIA,CR,4,3.5,False
Cricetus cricetus,포유류,MAMMALIA,CR,4,1.28,True
Necrosyrtes monachus,조류,AVES,CR,4,13.0,True
Panthera pardus delacouri,포유류,MAMMALIA,VU,2,7.42,True
Hyla heinzsteinitzi,무척추/식물/기타,,LC,0,2.0,True
Bostrychia bocagei,조류,AVES,CR,4,7.1,True
Pseudoryx nghetinhensis,포유류,MAMMALIA,CR,4,7.5,False
Crocodylus siamensis,파충류,REPTILIA,CR,4,25.0,True
Eubalaena glacialis,포유류,MAMMALIA,CR,4,35.7,True
Huso huso,어류,ACTINOPTERYGII,CR,4,3457.2000000000003,False
Propithecus coronatus,포유류,MAMMALIA,CR,4,10.0,True
Alligator sinensis,파충류,REPTILIA,CR,4,25.0,True
Crocodylus rhombifer,파충류,REPTILIA,CR,4,25.0,True
Turbinicarpus gielsdorfianus,무척추/식물/기타,MAGNOLIOPSIDA,CR,4,5.0,True
Heteromirafra archeri,조류,AVES,CR,4,3.24,True
Dendrolagus scottae,포유류,MAMMALIA,CR,4,3650.0,True
Huso dauricus,어류,ACTINOPTERYGII,CR,4,4051.8,False
Addax nasomaculatus,포유류,MAMMALIA,CR,4,7.6,True
Loxodonta cyclotis,포유류,MAMMALIA,CR,4,31.0,True
Spilocuscus rufoniger,포유류,MAMMALIA,CR,4,5.0,True
Panthera tigris amoyensis,포유류,MAMMALIA,EN,3,8.5,False
Bos javanicus,포유류,MAMMALIA,CR,4,7.0,True
Saguinus bicolor,포유류,MAMMALIA,CR,4,6.0,True
Aulonocara baenschi,어류,ACTINOPTERYGII,CR,4,1.0,True
Terenura sicki,조류,AVES,CR,4,2.34,True
Abies yuanbaoshanensis,무척추/식물/기타,PINOPSIDA,CR,4,27.5,False
Indri indri,포유류,MAMMALIA,CR,4,11.0,True
Pithecophaga jefferyi,조류,AVES,CR,4,18.99,True
Spheniscus demersus,조류,AVES,CR,4,10.0,True
Rhinoplax vigil,조류,AVES,CR,4,10.4,True
Dendrolagus pulcherrimus,포유류,MAMMALIA,CR,4,10.0,True
Hypancistrus zebra,어류,ACTINOPTERYGII,CR,4,2.5,True
Panthera tigris sumatrae,포유류,MAMMALIA,EN,3,8.5,False
Pipile pipile,조류,AVES,CR,4,8.5,True
Acropora palmata,무척추/식물/기타,ANTHOZOA,CR,4,10.0,True
Aegotheles savesi,조류,AVES,CR,4,3.48,True
Lepilemur septentrionalis,포유류,MAMMALIA,CR,4,7.0,True
Fraxinus pennsylvanica,무척추/식물/기타,MAGNOLIOPSIDA,CR,4,45.0,False
Nilssonia nigricans,파충류,REPTILIA,CR,4,15.0,True
Gymnogyps californianus,조류,AVES,CR,4,18.57,True
Galaxias tanycephalus,어류,ACTINOPTERYGII,CR,4,2.0,True
Gyps indicus,조류,AVES,CR,4,12.03,True
Haplochromis barbarae,어류,ACTINOPTERYGII,CR,4,1.0,True
Knipowitschia milleri,어류,ACTINOPTERYGII,CR,4,1.0,True
Haplochromis brownae,어류,ACTINOPTERYGII,CR,4,1.0,True
Batagur trivittata,파충류,REPTILIA,CR,4,25.0,True
Crenicichla cyclostoma,어류,ACTINOPTERYGII,CR,4,3.0,True
Batagur dhongoka,파충류,REPTILIA,CR,4,25.0,True
Batagur kachuga,파충류,REPTILIA,CR,4,25.0,True
Hadramphus tuberculatus,무척추/식물/기타,INSECTA,CR,4,1.0,True
Chlamydogobius squamigenus,어류,ACTINOPTERYGII,CR,4,0.5,True
Cuora galbinifrons,파충류,REPTILIA,CR,4,20.0,True
Gorilla beringei,포유류,MAMMALIA,CR,4,20.0,True
Chlamydogobius gloveri,어류,ACTINOPTERYGII,CR,4,0.5,True
Dipodomys gravipes,포유류,MAMMALIA,CR,4,2.26,True
Cyclura pinguis,파충류,REPTILIA,CR,4,22.0,True
