scientific_name,iucn_class,iucn_category,raw,consensus_score,gen,log_gen,taxon,iucn_rli,is_extinct
Canis lupus coreanus,MAMMALIA,LC,4.3-4.7,100.0,4.5,0.6532125137753437,포유류,0,False
Oreonax flavicauda,,CR,16,44.7,16.0,1.2041199826559248,무척추/식물/기타,4,False
Zyzomys palatalis,MAMMALIA,CR,2,22.6,2.0,0.3010299956639812,포유류,4,False
Lepilemur wrightae,MAMMALIA,EN,4.48,50.1,4.48,0.651278013998144,포유류,3,False
Bison bonasus,MAMMALIA,NT,12,17.3,12.0,1.0791812460476249,포유류,1,False
Capra aegagrus,MAMMALIA,NT,7,10.5,7.0,0.8450980400142568,포유류,1,False
Isoodon auratus,MAMMALIA,LC,1,10.5,1.0,0.0,포유류,0,False
Lagorchestes hirsutus,MAMMALIA,NT,3.5,6.6,3.5,0.5440680443502757,포유류,1,False
Leopardus guigna,MAMMALIA,LC,6,15.2,6.0,0.7781512503836436,포유류,0,False
Notomys fuscus,MAMMALIA,NT,1.5,10.5,1.5,0.17609125905568124,포유류,1,False
Syconycteris carolinae,MAMMALIA,NT,4.3,40.6,4.3,0.6334684555795865,포유류,1,False
Antilope cervicapra,MAMMALIA,LC,6.4,15.3,6.4,0.8061799739838872,포유류,0,False
Bettongia gaimardi,MAMMALIA,NT,3,15.0,3.0,0.47712125471966244,포유류,1,False
Bettongia lesueur,MAMMALIA,NT,3.3,10.5,3.3,0.5185139398778874,포유류,1,False
Bison bison,MAMMALIA,NT,9,10.6,9.0,0.9542425094393249,포유류,1,False
Capra cylindricornis,MAMMALIA,NT,7,10.5,7.0,0.8450980400142568,포유류,1,False
Chrysocyon brachyurus,MAMMALIA,NT,5,15.3,5.0,0.6989700043360189,포유류,1,False
Dasyurus geoffroii,MAMMALIA,NT,2,13.5,2.0,0.3010299956639812,포유류,1,False
Dasyurus maculatus,MAMMALIA,NT,2.5,40.2,2.5,0.3979400086720376,포유류,1,False
Dendrolagus lumholtzi,MAMMALIA,NT,8,15.3,8.0,0.9030899869919435,포유류,1,False
Eudorcas thomsonii,MAMMALIA,LC,4.2,40.1,4.2,0.6232492903979004,포유류,0,False
Genetta piscivora,MAMMALIA,NT,4,40.5,4.0,0.6020599913279624,포유류,1,False
Hyaena hyaena,MAMMALIA,NT,6,40.5,6.0,0.7781512503836436,포유류,1,False
Lasiorhinus latifrons,MAMMALIA,LC,9-12,3.6,10.5,1.021189299069938,포유류,0,False
Leporillus conditor,MAMMALIA,NT,2,22.2,2.0,0.3010299956639812,포유류,1,False
Mastacomys fuscus,MAMMALIA,NT,1-2,40.3,1.5,0.17609125905568124,포유류,1,False
Monodon monoceros,MAMMALIA,VU,30,44.7,30.0,1.4771212547196624,포유류,2,False
Notomys cervinus,MAMMALIA,NT,1.5,13.5,1.5,0.17609125905568124,포유류,1,False
Ornithorhynchus anatinus,MAMMALIA,NT,9-12,40.1,10.5,1.021189299069938,포유류,1,False
Otocolobus manul,MAMMALIA,LC,3.61,40.2,3.61,0.557507201905658,포유류,0,False
Ozotoceros bezoarticus,MAMMALIA,NT,3,40.7,3.0,0.47712125471966244,포유류,1,False
Pantholops hodgsonii,MAMMALIA,NT,6.1,3.6,6.1,0.785329835010767,포유류,1,False
Parahyaena brunnea,MAMMALIA,NT,8.5,10.6,8.5,0.9294189257142927,포유류,1,False
Petrogale godmani,MAMMALIA,NT,5,40.6,5.0,0.6989700043360189,포유류,1,False
Petrogale mareeba,MAMMALIA,NT,6.5,10.6,6.5,0.8129133566428556,포유류,1,False
Petrogale purpureicollis,MAMMALIA,NT,5,40.3,5.0,0.6989700043360189,포유류,1,False
Phascogale calura,MAMMALIA,NT,1,40.3,1.0,0.0,포유류,1,False
Phascogale tapoatafa,MAMMALIA,NT,1,40.3,1.0,0.0,포유류,1,False
Potorous tridactylus,MAMMALIA,NT,3-4,39.8,3.5,0.5440680443502757,포유류,1,False
Procapra picticaudata,MAMMALIA,NT,4.1,40.0,4.1,0.6127838567197355,포유류,1,False
Pseudantechinus mimulus,MAMMALIA,NT,1.5,40.3,1.5,0.17609125905568124,포유류,1,False
Pseudochirulus cinereus,MAMMALIA,NT,4,40.1,4.0,0.6020599913279624,포유류,1,False
Sminthopsis bindi,MAMMALIA,NT,2,40.6,2.0,0.3010299956639812,포유류,1,False
Taphozous australis,MAMMALIA,NT,2.2,40.3,2.2,0.3424226808222063,포유류,1,False
Tragelaphus imberbis,MAMMALIA,NT,4.3,40.4,4.3,0.6334684555795865,포유류,1,False
